countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
ARE,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2024,552324846834.581,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2023,522622191967.325,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2022,511403403675.97,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2021,422441388699.796,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2020,357161878829.135,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2019,433926208304.969,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2018,440560108917.631,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2017,403365010211.028,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2016,381717086453.37,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2015,381973042886.317,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2014,424935874744.724,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2013,409632675289.313,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2012,392793464942.138,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2011,368881143635.126,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
ARE,2010,307736419332.88,,,0,NY.GDP.MKTP.CD,GDP (current US$),AE,United Arab Emirates
AUS,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2024,1757022451652.83,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2023,1734451264655.6,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2022,1695627535475.8,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2021,1560617493202.69,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2020,1333336461648.09,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2019,1398349602956.35,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2018,1433144978761.67,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2017,1330890554614.09,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2016,1211588128417.61,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2015,1356805839935.9,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2014,1474677007565.64,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2013,1583737461925.39,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2012,1552728401401.58,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2011,1402939868653.4,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
AUS,2010,1152566632022.13,,,0,NY.GDP.MKTP.CD,GDP (current US$),AU,Australia
EGY,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2024,389059911003.566,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2023,395926075163.006,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2022,476747720364.742,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2021,424671765455.704,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2020,383817841547.099,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2019,318678815489.749,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2018,262588632526.73,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2017,248362771739.13,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2016,332441717791.411,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2015,329366576819.407,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2014,305595408895.265,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2013,288434108527.132,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2012,279116666666.667,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2011,235989672977.625,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
EGY,2010,218983666061.706,,,0,NY.GDP.MKTP.CD,GDP (current US$),EG,"Egypt, Arab Rep."
IND,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2024,3909891533858.08,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2023,3638489096033.86,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2022,3346107287730.93,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2021,3167270623260.47,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2020,2674851578587.27,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2019,2835606256558.19,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2018,2702929641648.74,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2017,2651474262755.45,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2016,2294796885663.16,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2015,2103588360044.94,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2014,2039126479154.52,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2013,1856721507621.58,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2012,1827637590410.41,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2011,1823051829894.55,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
IND,2010,1675615519484.96,,,0,NY.GDP.MKTP.CD,GDP (current US$),IN,India
JOR,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),JO,Jordan
JOR,2024,53352289577.4648,,,0,NY.GDP.MKTP.CD,GDP (current US$),JO,Jordan
JOR,2023,51088476338.0282,,,0,NY.GDP.MKTP.CD,GDP (current US$),JO,Jordan
JOR,2022,48764963380.2817,,,0,NY.GDP.MKTP.CD,GDP (current US$),JO,Jordan
JOR,2021,46296100140.8451,,,0,NY.GDP.MKTP.CD,GDP (current US$),JO,Jordan
