countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
ARE,2025,,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2024,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2023,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2022,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2021,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2020,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2019,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2018,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2017,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2016,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2015,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2014,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2013,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2012,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2011,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
ARE,2010,3.6725,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AE,United Arab Emirates
AUS,2025,,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2024,1.51535803855596,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2023,1.50519106560509,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2022,1.44166445896522,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2021,1.33122425957081,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2020,1.45308511847016,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2019,1.43850654421382,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2018,1.33841214646451,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2017,1.30475807671592,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2016,1.34521397601947,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2015,1.33109026245502,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2014,1.10936329281692,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2013,1.03584309652054,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2012,0.965801030658708,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2011,0.969463201496735,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
AUS,2010,1.09015948638677,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",AU,Australia
EGY,2025,,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",EG,"Egypt, Arab Rep."
EGY,2024,45.29926,,,2,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",EG,"Egypt, Arab Rep."
