corpus_role,repository_folder,relative_path,parent_subfolder,file_name,extension,size_bytes,size_kb,last_modified_utc,zip_last_modified_naive,is_symlink,initial_review_flag,scan_status,scan_error
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf,.pdf,355072,346.75,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Floating_Solar_Project_Page.pdf,.pdf,402782,393.34,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Gulf_Solar_BESS_IEE.pdf,.pdf,39953267,39016.86,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Gulf_Solar_BESS_Project_Page.pdf,.pdf,352416,344.16,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Gulf_Solar_BESS_SCAR.pdf,.pdf,2780527,2715.36,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf,.pdf,4130368,4033.56,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Guzar_Solar_BESS_ESIA_Part_4.pdf,.pdf,4969724,4853.25,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Guzar_Solar_BESS_Project_Page.pdf,.pdf,354488,346.18,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Utility_Scale_BESS_Project_Page.pdf,.pdf,358972,350.56,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,ADB_Utility_Scale_BESS_Project_Printable.pdf,.pdf,32252,31.5,,2026-06-11T10:36:12,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,README.txt,.txt,90,0.09,,2026-06-09T10:32:24,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Project_Documents,source_urls.csv,.csv,1566,1.53,,2026-06-11T12:27:38,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_Disclosure_Pages,IFC_Azure_RG_Project_SII.html,.html,90656,88.53,,2026-06-09T10:59:22,FALSE,normal_candidate,success,
public_reference_corpus,01_RAG_Public_Deal_Documents,/home/anurag_sarangi/projects/investment_ai_poc/Demo_Data_Folder/01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_Disclosure_Pages,IFC_Azure_RG_Project_SII.metadata.json,.json,460,0.45,,2026-06-09T10:59:22,FALSE,normal_candidate,success,
